Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Nemat-Nasser, Siavouche",MAE 131A - Solid Mechanics I (A),FA15,26,10,100.00%,100.00%,6.06,B+ (3.40),B- (2.90)
"de Oliveira, Mauricio",MAE 140 - Linear Circuits (A),FA15,194,66,79.00%,77.40%,6.6,B+ (3.35),B (3.07)
"Bewley, Thomas R",MAE 143C - Digital Control Systems (A),FA15,76,23,90.00%,75.00%,9.4,B+ (3.35),B+ (3.32)
"Friend, James Robert",MAE 150 - Computer-Aided Analysis&Design (A),FA15,125,44,83.30%,90.50%,8.26,B (3.24),B- (2.74)
"Delson, Nathan Joseph",MAE 154 - Prod. Desgn. & Entrepreneur. (A),FA15,38,31,100.00%,96.80%,7.6,A- (3.76),B+ (3.56)
"Jayson, Eric",MAE 156A - Fund. Prin./Mechanical Desgn I (A),FA15,25,6,100.00%,100.00%,8.5,B+ (3.67),B+ (3.51)
"Bandaru, Prabhakar",MAE 170 - Experimental Techniques (A),FA15,207,72,67.60%,57.40%,8.98,B (3.16),B (3.13)
"Lal, Ratnesh",MAE 170 - Experimental Techniques (B),FA15,147,59,52.90%,54.90%,10.46,B (3.29),B (3.25)
"Bahadori, Mohammad Yousef",MAE 181 - Space Mission Analysis/Design (A),FA15,51,25,96.00%,92.00%,4.93,B+ (3.58),B- (2.98)
"Anderson, Mark Ronald",MAE 2 - Intro to Aerospace Engineering (A),FA15,110,47,97.60%,100.00%,3.27,A- (3.76),B+ (3.62)
"McKittrick, Joanna M",MAE 20 - Elements of Materials Science (A),FA15,97,41,80.50%,51.20%,5.42,B+ (3.63),B (3.04)
"Delson, Nathan Joseph",MAE 3 - Intro/Engineering Graphcs&Desn (A),FA15,82,73,88.60%,91.40%,12.62,B+ (3.55),B+ (3.42)
"Tolley, Michael Thomas",MAE 3 - Intro/Engineering Graphcs&Desn (A),FA15,127,72,95.80%,97.20%,12.89,B+ (3.60),B+ (3.38)
"Gibson, Carl H.",MAE 5 - Quantitative Computer Skills (A),FA15,46,28,60.00%,72.00%,3.14,A- (3.71),A- (3.76)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),FA15,175,83,88.20%,77.60%,7.8,B+ (3.39),B (3.19)
"Murakami, Hidenori",MAE 93 - Design Compet/Design Race Car (A),FA15,20,9,77.80%,66.70%,4.25,A (4.00),N/A
"Rohr, James Joseph",MAE 101B - Advanced Fluid Mechanics (A),S215,32,5,100.00%,100.00%,10.5,B (3.20),B (3.17)
"Bahadori, Mohammad Yousef",MAE 101C - Heat Transfer (A),S215,33,7,85.70%,100.00%,7.07,B (3.00),B- (2.79)
"Gomez-Gonzalez, Manuel",No CAPEs submitted,S215,7,0,N/A,N/A,N/A,N/A,N/A
"Bandaru, Prabhakar",MAE 105 - Intro To Mathematical Physics (A),S215,47,13,76.90%,100.00%,8.35,B (3.08),B (3.09)
"Alvarez-Gonzalez, Begona",MAE 113 - Fundamentals of Propulsion (A),S215,11,3,100.00%,100.00%,9.17,B+ (3.33),N/A
"Murakami, Hidenori",MAE 130B - Mechanics II: Dynamics (A),S215,14,2,100.00%,100.00%,10.5,B (3.00),N/A
"Bahadori, Mohammad Yousef",MAE 130C - Mechanics III: Vibrations (A),S215,22,8,75.00%,100.00%,7,B+ (3.50),C+ (2.58)
"Lubarda, Marko",MAE 131A - Solid Mechanics I (A),S215,6,2,100.00%,100.00%,5.5,B+ (3.50),N/A
"Bahadori, Mohammad Yousef",MAE 101A - Introductory Fluid Mechanics (A),S115,29,11,90.90%,100.00%,9.77,B (3.09),B- (2.73)
"Ezunkpe, Yawo Semanu",MAE 107 - Computational Methods/Engineer (A),S115,51,36,77.80%,80.60%,9.94,B- (2.94),B (3.22)
"Bahadori, Mohammad Yousef",MAE 110A - Thermodynamics (A),S115,52,11,90.90%,90.90%,9.17,B+ (3.40),B- (2.85)
"Murakami, Hidenori",MAE 130A - Mechanics I: Statics (A),S115,43,13,100.00%,84.60%,8.35,B+ (3.69),B (3.17)
"Olevsky, Eugene",MAE 160 - Mechanical Behavior/Materials (A),S115,12,2,100.00%,100.00%,6.5,B+ (3.50),N/A
"Olevsky, Eugene",MAE 165 - Fatige&Failure Anlys/Eng Comp (A),S115,9,1,100.00%,100.00%,16.5,B (3.00),N/A
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S115,49,14,78.60%,71.40%,8.19,B+ (3.62),B+ (3.48)
"Nomura, Keiko K.",MAE 101B - Advanced Fluid Mechanics (A),SP15,127,65,93.80%,85.90%,8.78,B (3.03),B- (2.87)
"Seshadri, Kalyanasundaram",MAE 101C - Heat Transfer (A),SP15,10,5,100.00%,75.00%,7,B (3.25),N/A
"Llewellyn Smith, Stefan G.",MAE 105 - Intro To Mathematical Physics (B),SP15,76,29,53.60%,50.00%,9.46,B- (2.70),B- (2.76)
"Brucker, Kyle Ashley",MAE 107 - Computational Methods/Engineer (A),SP15,94,44,50.00%,59.50%,5.2,B+ (3.50),B+ (3.42)
"Martinez, Sonia",MAE 108 - Prob & Stats/Method/Mech Eng (A),SP15,103,45,81.40%,83.70%,5.62,B (3.23),B+ (3.56)
"Saintillan, David",MAE 108 - Prob & Stats/Method/Mech Eng (B),SP15,67,24,79.20%,95.80%,5.63,B (3.21),B (3.15)
"Dubin, Daniel Herschel",No CAPEs submitted,SP15,4,0,N/A,N/A,N/A,N/A,N/A
"Bahadori, Mohammad Yousef",MAE 120 - Introduction to Nuclear Energy (A),SP15,110,46,88.40%,93.00%,5.74,B+ (3.40),B- (2.77)
"Teranes, Jane",MAE 124 - Envrnmntl Chall: Science & Sol (A),SP15,123,42,100.00%,97.50%,5.1,B+ (3.63),B+ (3.30)
"Kleissl, Jan",MAE 126B - Environmental Engineering Des. (A),SP15,37,7,83.30%,100.00%,8.17,B+ (3.67),A- (3.78)
"Pawlak, Geno Ronald",MAE 126B - Environmental Engineering Des. (A),SP15,37,6,83.30%,100.00%,8.17,B+ (3.67),A- (3.78)
"Murakami, Hidenori",MAE 130B - Mechanics II: Dynamics (A),SP15,141,56,70.90%,41.80%,8.46,B+ (3.31),B (3.15)
"Chen, Jiun-Shyan",MAE 130C - Mechanics III: Vibrations (A),SP15,21,8,71.40%,57.10%,9.17,B+ (3.43),B (3.02)
"Nemat-Nasser, Siavouche",MAE 131A - Solid Mechanics I (A),SP15,153,58,94.60%,87.50%,5.59,B+ (3.61),B (3.16)
"Markenscoff, Xanthippi",MAE 131B - Solid Mechanics II (A),SP15,35,10,100.00%,50.00%,4.1,B+ (3.50),B- (2.90)
"de Oliveira, Mauricio",MAE 143B - Linear Control (A),SP15,151,53,71.20%,61.50%,7.81,B- (2.92),B (3.11)
"Jayson, Eric",MAE 150 - Computer-Aided Analysis&Design (A),SP15,60,7,100.00%,100.00%,10.5,B (3.29),B- (2.86)
"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (A),SP15,44,12,91.70%,91.70%,6.5,A- (3.83),B+ (3.69)
"Delson, Nathan Joseph",MAE 156B - Fund. Prin/Mechanical Desgn II (A),SP15,38,33,96.90%,100.00%,15.38,A- (3.81),A- (3.78)
"Tustaniwskyj, Jerry I",MAE 156B - Fund. Prin/Mechanical Desgn II (B),SP15,37,30,93.30%,93.30%,17.05,B+ (3.60),A- (3.86)
"Cattolica, Robert J",MAE 170 - Experimental Techniques (A),SP15,216,97,65.20%,65.20%,9.59,B (3.27),B- (2.98)
"Beg, Farhat N.",MAE 170 - Experimental Techniques (B),SP15,190,84,61.00%,81.80%,10.18,B+ (3.45),B- (2.94)
