Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bodnar, Michelle Elizabeth",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A),S116,91,28,82.60%,95.70%,8.76,B+ (3.59),C+ (2.54)
"Schmitt, Jeremy M",MATH 20D - Intro/Differential Equations (A),S116,134,39,82.40%,91.20%,7.69,A- (3.79),B- (2.93)
"Sangha, Luvreet Singh",MATH 20E - Vector Calculus (A),S116,120,30,67.90%,89.30%,10.13,B (3.19),C+ (2.68)
"Kim, Yeon Kyung",MATH 20F - Linear Algebra (A),S116,126,30,96.70%,90.00%,7.74,B+ (3.62),C+ (2.66)
"Rogalski, Daniel",MATH 100C - Abstract Algebra III (A),SP16,21,10,100.00%,90.00%,7.7,A- (3.78),B+ (3.34)
"McKernan, James",MATH 103B - Modern Algebra II (A),SP16,55,17,87.50%,93.80%,6.63,B+ (3.69),B (3.02)
"Oprea, Dragos N.",MATH 104A - Number Theory I (A),SP16,57,20,85.00%,90.00%,8.71,B- (2.84),B- (2.94)
"Salehi Golsefidy, Alireza",MATH 104C - Number Theory III (A),SP16,4,4,100.00%,100.00%,4,A- (3.75),N/A
"Pelayo, Alvaro",MATH 109 - Mathematical Reasoning (A),SP16,113,41,90.20%,90.20%,5.95,B (3.21),C+ (2.68)
"Agler, Jim",MATH 109 - Mathematical Reasoning (B),SP16,93,40,89.50%,86.80%,7.41,B+ (3.31),B (3.05)
"Rhoades, Brendon Patrick",MATH 109 - Mathematical Reasoning (C),SP16,176,123,80.50%,89.40%,7.16,B (3.06),B- (2.86)
"Kim, Yeon Kyung",MATH 10A - Calculus I (A),SP16,153,55,81.10%,67.90%,6.35,B- (2.82),C+ (2.38)
"Mohanty, Sara",MATH 10B - Calculus II (A),SP16,83,26,92.00%,80.00%,6.02,B- (2.96),C+ (2.31)
"Carter, Anne Toulson",MATH 10B - Calculus II (B),SP16,196,80,77.90%,90.90%,6.37,B (3.00),C+ (2.57)
"Barrese, Kenneth William",MATH 10C - Calculus III (A),SP16,205,85,78.30%,67.50%,5.05,B- (2.91),B- (2.79)
"Tiee, Christopher Landrick",MATH 10C - Calculus III (B),SP16,254,216,79.30%,70.00%,5.16,B (3.27),B+ (3.49)
"Bowers, Adam R.",MATH 11 - Calculus-Based Prob & Stats (A),SP16,255,110,69.80%,88.70%,8.21,B (3.07),C+ (2.69)
"Sterbenz, Jacob",MATH 110B - Partial Diff Equa&Integral Equ (A),SP16,12,4,100.00%,100.00%,7.5,A- (3.75),N/A
"Agler, Jim",MATH 120B - Applied Complex Analysis (A),SP16,54,16,93.80%,75.00%,5.03,B (3.08),B+ (3.54)
"Stevens, Laura Jeanne",MATH 121B - Found of Teachg/Learng Math II (A),SP16,18,9,100.00%,100.00%,4.25,B+ (3.44),N/A
