Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kesden, Gregory M",CSE 120 - Princ/Computer Operating Systm (A),SP16,189,69,78.00%,55.90%,10.25,B- (2.86),C+ (2.64)
"Snoeren, Alex C.",CSE 123 - Computer Networks (A),SP16,129,41,90.00%,100.00%,9.42,B- (2.72),C+ (2.63)
"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP16,33,9,100.00%,100.00%,14.5,A (4.00),A (4.00)
"Shacham, Hovav",CSE 127 - Intro to Computer Security (A),SP16,58,25,95.70%,95.70%,11.05,B (3.10),B- (2.95)
"Jhala, Ranjit",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SP16,125,49,89.40%,89.40%,8.54,B (3.20),B (3.25)
"Zhang, Weifeng",CSE 131 - Compiler Construction (A),SP16,265,81,68.00%,52.00%,15.38,B- (2.79),B- (2.86)
"Papakonstantinou, Yannis",CSE 135 - Server-side Web Applications (A),SP16,155,41,71.80%,33.30%,9.32,B- (2.84),B (3.20)
"Powell, Thomas Allan",CSE 136 - Enterprise-class Web Applcatns (A),SP16,52,18,100.00%,100.00%,10.74,B+ (3.53),B+ (3.38)
"Mirza, Diba",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP16,192,127,89.00%,98.40%,7.05,B+ (3.34),B- (2.91)
"Orailoglu, Alex",CSE 140 - Component&Desgn Tech/Digtl Sys (B),SP16,25,11,70.00%,40.00%,7.7,C+ (2.38),C (2.29)
"Chu, Isaac Y",CSE 140L - Digital Systems Laboratory (A),SP16,158,52,81.30%,95.80%,4.95,B+ (3.62),B (3.14)
"Chu, Isaac Y",CSE 140L - Digital Systems Laboratory (B),SP16,92,41,89.20%,94.60%,4.69,B+ (3.70),B (3.14)
"Tseng, Hung-Wei",CSE 141 - Intro/Computer Architecture (A),SP16,276,182,75.40%,89.40%,7.47,B- (2.94),B+ (3.31)
"Tullsen, Dean Michael",CSE 141 - Intro/Computer Architecture (B),SP16,158,58,76.80%,69.60%,7.54,B (3.00),B- (2.82)
"Eldon, John",CSE 141L - Project/Computer Architecture (A),SP16,168,51,74.50%,91.50%,8.09,B+ (3.51),B+ (3.36)
"Eldon, John",CSE 141L - Project/Computer Architecture (B),SP16,169,60,71.40%,91.10%,7.26,B+ (3.38),B+ (3.36)
"Kastner, Ryan Charles",CSE 145 - Embedded System Design Project (A),SP16,28,18,88.20%,94.10%,10,A- (3.82),A (4.00)
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP16,11,4,100.00%,100.00%,13,B (3.25),N/A
"Cottrell, Garrison W",CSE 150 - Int Artif Intell:Search&Reason (A),SP16,190,58,84.90%,66.00%,8.7,B (3.06),B (3.26)
