Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ternansky, Robert J.",CHEM 143A - Organic Chemistry Laboratory (A),WI16,404,197,78.70%,64.90%,7.17,B- (2.99),B (3.11)
"Weizman, Haim",CHEM 143AM - Organic Chem Lab - Majors (A),WI16,64,36,91.20%,94.10%,8.09,B (3.29),B- (2.97)
"Albizati, Kim F.",CHEM 143B - Organic Chemistry Laboratory (A),WI16,86,38,94.10%,97.10%,5.83,B+ (3.45),B (3.14)
"Godula, Kamil",CHEM 155 - Synthesis of Complex Molecules (A),WI16,3,1,100.00%,100.00%,8.5,A (4.00),N/A
"Yang, Jerry",CHEM 156 - Struct&Properties/Organc Molec (A),WI16,8,5,60.00%,100.00%,6.5,B+ (3.40),N/A
"Devaraj, Neal Krishna",CHEM 168 - Drug Synthesis and Design (A),WI16,52,21,95.20%,95.20%,5.36,B (3.24),B (3.26)
"Pomeroy, Robert S.",CHEM 172 - Environmental Chemistry II (A),WI16,39,17,94.10%,100.00%,6.26,B (3.18),B- (2.95)
"Bussey, Thomas J",CHEM 187 - Foundn of Teach&Learn Science (A),WI16,5,3,100.00%,100.00%,4.5,B+ (3.67),N/A
"Newsam, John",CHEM 194 - Special Topics in Chemistry (A),WI16,18,16,93.80%,100.00%,1.75,A- (3.86),N/A
"Albizati, Kim F.",CHEM 194 - Special Topics in Chemistry (B),WI16,18,11,90.90%,90.90%,2.14,B (3.11),N/A
"Dibrov, Sergey M",CHEM 6A - General Chemistry I (A),WI16,128,87,78.30%,47.00%,6.25,C+ (2.44),C (2.24)
